State,Severity,Quarter,Count
AL,1,1,1
AL,1,2,1
AL,1,3,3
AL,1,4,1
AL,2,1,3499
AL,2,2,3589
AL,2,3,3227
AL,2,4,3846
AL,3,1,1379
AL,3,2,1331
AL,3,3,1041
AL,3,4,1130
AL,4,1,50
AL,4,2,48
AL,4,3,49
AL,4,4,43
AR,2,1,137
AR,2,2,183
AR,2,3,117
AR,2,4,119
AR,3,1,56
AR,3,2,83
AR,3,3,37
AR,3,4,62
AR,4,1,69
AR,4,2,58
AR,4,3,42
AR,4,4,28
AZ,1,2,4
AZ,1,3,2
AZ,2,1,4297
AZ,2,2,4441
AZ,2,3,5827
AZ,2,4,4931
AZ,3,1,1078
AZ,3,2,1033
AZ,3,3,1182
AZ,3,4,859
AZ,4,1,239
AZ,4,2,212
AZ,4,3,174
AZ,4,4,250
CA,1,1,3
CA,1,2,2
CA,1,3,3
CA,1,4,10
CA,2,1,21413
CA,2,2,22009
CA,2,3,44758
CA,2,4,80481
CA,3,1,12922
CA,3,2,11259
CA,3,3,9255
CA,3,4,9360
CA,4,1,482
CA,4,2,573
CA,4,3,541
CA,4,4,384
CO,1,2,1
CO,1,4,1
CO,2,1,2127
CO,2,2,1984
CO,2,3,1826
CO,2,4,2046
CO,3,1,1920
CO,3,2,2237
CO,3,3,2023
CO,3,4,2175
CO,4,1,344
CO,4,2,355
CO,4,3,317
CO,4,4,264
CT,1,1,1
CT,1,3,1
CT,2,1,698
CT,2,2,678
CT,2,3,576
CT,2,4,664
CT,3,1,549
CT,3,2,554
CT,3,3,595
CT,3,4,738
CT,4,1,111
CT,4,2,104
CT,4,3,103
CT,4,4,85
DC,1,3,1
DC,2,1,315
DC,2,2,324
DC,2,3,277
DC,2,4,198
DC,3,1,49
DC,3,2,76
DC,3,3,51
DC,3,4,55
DC,4,1,28
DC,4,2,62
DC,4,3,24
DC,4,4,27
DE,1,4,1
DE,2,1,246
DE,2,2,322
DE,2,3,348
DE,2,4,472
DE,3,1,22
DE,3,2,32
DE,3,3,14
DE,3,4,24
DE,4,1,43
DE,4,2,53
DE,4,3,22
DE,4,4,21
FL,1,1,6
FL,1,2,3
FL,1,3,4
FL,1,4,2
FL,2,1,8642
FL,2,2,9834
FL,2,3,9594
FL,2,4,10488
FL,3,1,4650
FL,3,2,4681
FL,3,3,4648
FL,3,4,4740
FL,4,1,760
FL,4,2,871
FL,4,3,766
FL,4,4,624
GA,1,1,3
GA,1,2,2
GA,1,4,2
GA,2,1,3274
GA,2,2,3214
GA,2,3,2185
GA,2,4,2482
GA,3,1,2870
GA,3,2,2779
GA,3,3,2234
GA,3,4,2464
GA,4,1,577
GA,4,2,579
GA,4,3,541
GA,4,4,512
IA,1,2,1
IA,2,1,332
IA,2,2,204
IA,2,3,260
IA,2,4,395
IA,3,1,461
IA,3,2,283
IA,3,3,303
IA,3,4,369
IA,4,1,40
IA,4,2,28
IA,4,3,86
IA,4,4,80
ID,2,1,125
ID,2,2,83
ID,2,3,116
ID,2,4,117
ID,3,1,11
ID,3,2,14
ID,3,3,7
ID,3,4,18
ID,4,1,10
ID,4,2,11
ID,4,3,22
ID,4,4,20
IL,2,1,3400
IL,2,2,3105
IL,2,3,2184
IL,2,4,3804
IL,3,1,1657
IL,3,2,1591
IL,3,3,1632
IL,3,4,1722
IL,4,1,219
IL,4,2,284
IL,4,3,234
IL,4,4,137
IN,1,1,1
IN,1,2,1
IN,1,4,1
IN,2,1,851
IN,2,2,934
IN,2,3,1278
IN,2,4,876
IN,3,1,826
IN,3,2,689
IN,3,3,796
IN,3,4,834
IN,4,1,213
IN,4,2,155
IN,4,3,149
IN,4,4,168
KS,2,1,243
KS,2,2,234
KS,2,3,190
KS,2,4,137
KS,3,1,329
KS,3,2,211
KS,3,3,255
KS,3,4,277
KS,4,1,23
KS,4,2,32
KS,4,3,30
KS,4,4,34
KY,1,2,1
KY,2,1,635
KY,2,2,820
KY,2,3,1032
KY,2,4,1361
KY,3,1,816
KY,3,2,732
KY,3,3,640
KY,3,4,594
KY,4,1,24
KY,4,2,61
KY,4,3,75
KY,4,4,41
LA,1,1,2
LA,1,2,2
LA,1,3,1
LA,1,4,1
LA,2,1,3665
LA,2,2,3697
LA,2,3,4377
LA,2,4,3300
LA,3,1,932
LA,3,2,996
LA,3,3,885
LA,3,4,818
LA,4,1,43
LA,4,2,100
LA,4,3,92
LA,4,4,69
MA,1,1,1
MA,1,2,1
MA,2,1,1409
MA,2,2,1220
MA,2,3,1263
MA,2,4,1670
MA,3,1,1002
MA,3,2,907
MA,3,3,891
MA,3,4,912
MA,4,1,18
MA,4,2,21
MA,4,3,16
MA,4,4,18
MD,1,1,1
MD,1,3,5
MD,1,4,1
