rank,subscribers,video views,subscribers_for_last_30_days,video_views_for_the_last_30_days,category,Country,lowest_monthly_earnings,highest_monthly_earnings
1,245000000,2.28E+11,2000000,2258000000,Music,India,564600,9000000
5,159000000,1.48E+11,1000000,1824000000,Shows,India,455900,7300000
11,96700000,57856289381,1100000,803613000,Music,India,200900,3200000
16,83000000,1.01E+11,1100000,1657000000,Shows,India,414300,6600000
22,70500000,73139054467,900000,1707000000,Entertainment,India,426800,6800000
25,65900000,45757850229,500000,420292000,Education,India,105100,1700000
26,65600000,28648024439,400000,254961000,Music,India,63700,1000000
27,64600000,61510906457,1100000,1188000000,Shows,India,296900,4800000
28,61000000,29533230328,,10,Music,India,0,0.04
31,59300000,33431802698,600000,422634000,Music,India,105700,1700000
33,58000000,40602020243,500000,232025000,Music,India,58000,928100
34,57600000,25307753534,500000,461148000,News & Politics,India,115300,1800000
35,57200000,28837144516,300000,259310000,Music,India,64800,1000000
38,54600000,35302243691,500000,512093000,Film & Animation,India,128000,2000000
41,53300000,30516172739,1600000,815949000,Education,India,204000,3300000
48,47400000,22519705183,500000,232744000,Entertainment,India,58200,931000
54,45500000,21388725229,400000,233988000,Entertainment,India,58500,936000
67,42500000,26820902622,100000,159757000,Music,India,39900,639000
71,41400000,17608931161,400000,180942000,Trailers,India,45200,723800
79,39200000,3294013141,700000,78688000,Comedy,India,19700,314800
87,38300000,16718192386,400000,814756000,Music,India,203700,3300000
90,38200000,28519339489,500000,415914000,Shows,India,104000,1700000
95,37200000,16402066717,100000,49861000,Comedy,India,12500,199400
96,37000000,13102611515,400000,267060000,People & Blogs,India,66800,1100000
100,36600000,15653786446,200000,131462000,Trailers,India,0,0
107,35500000,15657673422,900000,533793000,Entertainment,India,133400,2100000
108,35500000,16105023749,600000,290847000,News & Politics,India,72700,1200000
109,35400000,22637783517,500000,331474000,Music,India,82900,1300000
116,34300000,12746535822,100000,101357000,Music,India,25300,405400
119,34000000,11351015824,600000,179903000,Film & Animation,India,45000,719600
125,33500000,14864294792,500000,272255000,Music,India,68100,1100000
127,33500000,11405809704,100000,24736000,Comedy,India,6200,98900
129,33400000,20269857567,200000,136084000,Education,India,34000,544300
132,32700000,17853798780,40000,20263000,Entertainment,India,5100,81100
140,32000000,26800674545,1200000,1667000000,Entertainment,India,416800,6700000
144,31700000,5711208484,500000,109125000,Science & Technology,India,27300,436500
145,31700000,16476978876,200000,112648000,Music,India,28200,450600
157,30700000,3145161634,300000,31822000,Comedy,India,8000,127300
158,30500000,16709857823,600000,461472000,News & Politics,India,115400,1800000
