,County,State,Year,Severity,count(Severity)
0,Arlington,VA,2020,2,754
1,Colleton,SC,2020,3,104
2,Georgetown,SC,2020,2,388
3,Douglas,OR,2020,2,1709
4,Colleton,SC,2020,2,608
5,Woodbury,IA,2020,2,38
6,Saluda,SC,2020,2,151
7,Morgan,AL,2020,4,1
8,Emery,UT,2020,2,136
9,Sheboygan,WI,2020,2,24
10,Alleghany,VA,2020,2,56
11,Hancock,OH,2020,4,3
12,Santa Clara,CA,2020,1,710
13,Winston,AL,2020,2,9
14,Montgomery,MD,2020,4,437
15,Boone,KY,2020,4,8
16,Newport News,VA,2020,2,492
17,Lee,SC,2020,2,247
18,Duval,FL,2020,4,164
19,Wright,MN,2020,3,112
20,Yolo,CA,2020,3,153
21,Sibley,MN,2020,2,150
22,Lapeer,MI,2020,2,9
23,Montgomery,NY,2020,3,40
24,Walworth,WI,2020,3,6
25,Livingston,IL,2020,2,4
26,Bulloch,GA,2020,3,10
27,Johnson,IN,2020,2,54
28,Plymouth,MA,2020,3,60
29,Radford,VA,2020,3,2
30,Hudspeth,TX,2020,3,4
31,Greenbrier,WV,2020,4,2
32,Sussex,NJ,2020,2,26
33,Hamilton,TN,2020,2,3037
34,Darlington,SC,2020,2,695
35,Brunswick,VA,2020,2,130
36,Franklin,IL,2020,3,57
37,Middlesex,CT,2020,2,221
38,Greene,OH,2020,3,14
39,Carroll,VA,2020,4,14
40,Elbert,CO,2020,3,4
41,Caroline,MD,2020,2,89
42,Forsyth,NC,2020,2,694
43,Potter,PA,2020,2,48
44,Isle of Wight,VA,2020,3,8
45,Crockett,TN,2020,2,4
46,Pulaski,AR,2020,4,30
47,Pottawatomie,OK,2020,3,13
48,Garland,AR,2020,2,20
49,Sevier,UT,2020,3,27
50,Belmont,OH,2020,4,2
51,Anderson,SC,2020,2,4369
52,Jasper,SC,2020,4,9
53,Iron,UT,2020,3,22
54,Early,GA,2020,2,4
55,Cumberland,IL,2020,3,14
56,Giles,TN,2020,2,23
57,Socorro,NM,2020,3,6
58,Winnebago,WI,2020,4,7
59,Reeves,TX,2020,3,1
60,Marquette,WI,2020,3,1
61,Pulaski,AR,2020,2,1214
62,Clinton,IA,2020,3,2
63,Crawford,IN,2020,3,8
64,Strafford,NH,2020,3,6
65,Pierce,GA,2020,2,3
66,McLean,IL,2020,2,8
67,Washington,MN,2020,1,2
68,Saline,AR,2020,3,2
69,Marion,IN,2020,3,1745
70,Iowa,IA,2020,3,14
71,Jefferson,AL,2020,2,2159
72,Walker,AL,2020,2,214
73,McHenry,IL,2020,2,35
74,Klickitat,WA,2020,2,47
75,Beaver,PA,2020,3,32
76,Tioga,NY,2020,2,24
77,Allen,IN,2020,3,16
78,Perry,MS,2020,2,8
79,Ingham,MI,2020,2,124
80,Gila,AZ,2020,2,172
81,Clinton,NY,2020,3,3
82,Smith,TX,2020,2,688
83,Warren,GA,2020,4,3
84,Cochise,AZ,2020,2,44
85,Klamath,OR,2020,3,7
86,Jay,IN,2020,2,3
87,Greene,NY,2020,2,115
88,Greene,TN,2020,3,6
89,Alexandria,VA,2020,4,7
90,Somerset,PA,2020,2,369
91,Rice,MN,2020,3,17
92,Botetourt,VA,2020,4,41
93,York,ME,2020,2,46
94,La Paz,AZ,2020,2,87
95,Iroquois,IL,2020,2,8
96,Butte,CA,2020,3,4
97,Perry,MS,2020,3,1
98,Warren,MO,2020,2,6
99,Grant,OR,2020,2,347
100,Pershing,NV,2020,2,17
101,Bacon,GA,2020,2,4
102,King,WA,2020,1,298
103,Hillsborough,FL,2020,2,6843
104,Johnson,IA,2020,3,85
105,Gloucester,NJ,2020,2,581
106,Somerset,NJ,2020,2,251
107,St. Louis City,MO,2020,4,70
108,Lander,NV,2020,2,21
109,Wayne,MI,2020,4,127
110,Tehama,CA,2020,3,24
111,Orleans,LA,2020,4,109
112,Wilson,NC,2020,2,41
113,Johnston,NC,2020,2,303
114,Josephine,OR,2020,3,27
115,Rock,WI,2020,4,28
116,Pierce,WA,2020,4,62
117,Pike,PA,2020,2,59
118,Boundary,ID,2020,2,13
119,Putnam,TN,2020,4,5
120,Chesapeake,VA,2020,3,392
121,Umatilla,OR,2020,3,62
122,Lake,CA,2020,2,939
123,Strafford,NH,2020,2,75
124,Hardee,FL,2020,2,158
125,Clayton,GA,2020,2,526
126,Suwannee,FL,2020,3,34
127,Montgomery,OH,2020,4,24
128,Otsego,NY,2020,3,8
129,Genesee,NY,2020,2,183
130,Cuyahoga,OH,2020,4,66
131,Linn,OR,2020,3,49
132,Klickitat,WA,2020,3,4
133,Richland,OH,2020,3,4
134,Mercer,MO,2020,2,5
135,Mifflin,PA,2020,3,2
136,Kent,MD,2020,2,29
137,New York,NY,2020,4,192
138,DuPage,IL,2020,4,42
139,Garfield,UT,2020,2,56
140,Pike,GA,2020,2,7
141,Archer,TX,2020,2,1
142,Johnson,GA,2020,2,2
143,St. Charles,MO,2020,2,452
144,Baldwin,AL,2020,3,165
145,Colbert,AL,2020,2,78
146,Genesee,NY,2020,3,54
147,New Haven,CT,2020,2,1433
148,Jackson,MN,2020,3,2
149,Shelby,IA,2020,2,1
150,Warren,VA,2020,4,13
151,Lancaster,PA,2020,3,135
152,La Paz,AZ,2020,3,24
153,Buckingham,VA,2020,2,12
154,Bureau,IL,2020,2,3
155,Elkhart,IN,2020,3,2
156,Chatham,NC,2020,3,3
157,Scott,IN,2020,3,3
158,Sherman,OR,2020,2,222
159,Leon,FL,2020,2,1701
160,Stanislaus,CA,2020,2,3385
161,Roanoke County,VA,2020,3,74
162,Waukesha,WI,2020,2,190
163,Guilford,NC,2020,2,648
164,Putnam,NY,2020,3,63
165,Gloucester,VA,2020,2,81
166,Howard,MD,2020,4,103
167,Oklahoma,OK,2020,4,13
168,Solano,CA,2020,4,23
169,Sangamon,IL,2020,2,10
170,Crittenden,AR,2020,4,17
171,Autauga,AL,2020,4,10
172,Orange,FL,2020,3,940
173,Laurens,SC,2020,2,955
174,Washington,MN,2020,2,1599
175,Maricopa,AZ,2020,3,1679
176,Dougherty,GA,2020,2,22
177,St. Louis City,MO,2020,2,226
178,Chisago,MN,2020,2,686
179,Polk,IA,2020,2,760
180,Citrus,FL,2020,2,294
181,Adair,IA,2020,3,18
182,Burlington,NJ,2020,3,118
183,Columbia,PA,2020,2,263
184,Culpeper,VA,2020,3,1
185,Gadsden,FL,2020,4,6
186,Wayne,MI,2020,1,14
