"abbrev","yearfloor","state","job_count"
AL,1960.0,Alabama,3
AL,1880.0,Alabama,0
AL,1860.0,Alabama,0
AL,1920.0,Alabama,0
AL,1980.0,Alabama,0
AL,2020.0,Alabama,0
AL,1800.0,Alabama,0
AL,2000.0,Alabama,5
AL,1940.0,Alabama,1
AL,1820.0,Alabama,0
AL,1900.0,Alabama,0
AL,1840.0,Alabama,0
AK,1960.0,Alaska,0
AK,1880.0,Alaska,0
AK,1860.0,Alaska,0
AK,1920.0,Alaska,0
AK,1980.0,Alaska,0
AK,2020.0,Alaska,0
AK,1800.0,Alaska,0
AK,2000.0,Alaska,0
AK,1940.0,Alaska,0
AK,1820.0,Alaska,0
AK,1900.0,Alaska,0
AK,1840.0,Alaska,0
AZ,1960.0,Arizona,2
AZ,1880.0,Arizona,0
AZ,1860.0,Arizona,1
AZ,1920.0,Arizona,2
AZ,1980.0,Arizona,1
AZ,2020.0,Arizona,0
AZ,1800.0,Arizona,0
AZ,2000.0,Arizona,7
AZ,1940.0,Arizona,0
AZ,1820.0,Arizona,0
AZ,1900.0,Arizona,3
AZ,1840.0,Arizona,0
AR,1960.0,Arkansas,0
AR,1880.0,Arkansas,0
AR,1860.0,Arkansas,0
AR,1920.0,Arkansas,0
AR,1980.0,Arkansas,0
AR,2020.0,Arkansas,0
AR,1800.0,Arkansas,0
AR,2000.0,Arkansas,0
AR,1940.0,Arkansas,0
AR,1820.0,Arkansas,0
AR,1900.0,Arkansas,0
AR,1840.0,Arkansas,0
CA,1960.0,California,9
CA,1880.0,California,1
CA,1860.0,California,2
CA,1920.0,California,16
CA,1980.0,California,22
CA,2020.0,California,1
CA,1800.0,California,0
CA,2000.0,California,24
CA,1940.0,California,8
CA,1820.0,California,0
CA,1900.0,California,4
CA,1840.0,California,0
CO,1960.0,Colorado,0
CO,1880.0,Colorado,0
CO,1860.0,Colorado,2
CO,1920.0,Colorado,0
CO,1980.0,Colorado,1
CO,2020.0,Colorado,0
CO,1800.0,Colorado,0
CO,2000.0,Colorado,2
CO,1940.0,Colorado,0
CO,1820.0,Colorado,0
CO,1900.0,Colorado,1
CO,1840.0,Colorado,0
CT,1960.0,Connecticut,0
CT,1880.0,Connecticut,1
CT,1860.0,Connecticut,0
CT,1920.0,Connecticut,0
CT,1980.0,Connecticut,7
CT,2020.0,Connecticut,0
CT,1800.0,Connecticut,0
CT,2000.0,Connecticut,2
CT,1940.0,Connecticut,0
CT,1820.0,Connecticut,0
CT,1900.0,Connecticut,0
CT,1840.0,Connecticut,2
DE,1960.0,Delaware,5
DE,1880.0,Delaware,0
DE,1860.0,Delaware,0
DE,1920.0,Delaware,0
DE,1980.0,Delaware,0
DE,2020.0,Delaware,0
DE,1800.0,Delaware,0
DE,2000.0,Delaware,0
DE,1940.0,Delaware,0
DE,1820.0,Delaware,0
DE,1900.0,Delaware,0
DE,1840.0,Delaware,0
DC,1960.0,District of Columbia,0
DC,1880.0,District of Columbia,0
DC,1860.0,District of Columbia,1
DC,1920.0,District of Columbia,0
DC,1980.0,District of Columbia,5
DC,2020.0,District of Columbia,0
DC,1800.0,District of Columbia,0
DC,2000.0,District of Columbia,8
DC,1940.0,District of Columbia,0
DC,1820.0,District of Columbia,0
DC,1900.0,District of Columbia,0
DC,1840.0,District of Columbia,0
FL,1960.0,Florida,7
FL,1880.0,Florida,0
FL,1860.0,Florida,1
FL,1920.0,Florida,5
FL,1980.0,Florida,12
FL,2020.0,Florida,0
FL,1800.0,Florida,0
FL,2000.0,Florida,9
