,Job Title,Rating,Company Name,Location,Size,Sector,avg_salary,python,r,spark,aws,excel,Salary_category,Size_category,State_category,State_Acro
0,Data Scientist,3.8,Tecolote Research,"Albuquerque, NM",501 to 1000 employees,Aerospace & Defense,72.0,1,0,0,0,1,lowSalary,500 to 1000,NM,New Mexico
1,Healthcare Data Scientist,3.4,University of Maryland Medical System,"Linthicum, MD",10000+ employees,Health Care,87.5,1,0,0,0,0,lowSalary,More than 5000,MD,Maryland
2,Data Scientist,4.8,KnowBe4,"Clearwater, FL",501 to 1000 employees,Business Services,85.0,1,0,1,0,1,lowSalary,500 to 1000,FL,Florida
3,Data Scientist,3.8,PNNL,"Richland, WA",1001 to 5000 employees,"Oil, Gas, Energy & Utilities",76.5,1,0,0,0,0,lowSalary,1000 to 5000,WA,Washington
4,Data Scientist,2.9,Affinity Solutions,"New York, NY",51 to 200 employees,Business Services,114.5,1,0,0,0,1,middleSalary,Under 500,NY,New York
5,Data Scientist,3.4,CyrusOne,"Dallas, TX",201 to 500 employees,Real Estate,95.0,1,0,0,1,1,middleSalary,Under 500,TX,Texas
6,Data Scientist,4.1,ClearOne Advantage,"Baltimore, MD",501 to 1000 employees,Finance,73.5,0,0,0,0,1,lowSalary,500 to 1000,MD,Maryland
7,Data Scientist,3.8,Logic20/20,"San Jose, CA",201 to 500 employees,Business Services,114.0,1,0,1,1,1,middleSalary,Under 500,CA,California
8,Research Scientist,3.3,Rochester Regional Health,"Rochester, NY",10000+ employees,Health Care,61.0,0,0,0,0,0,lowSalary,More than 5000,NY,New York
9,Data Scientist,4.6,<intent>,"New York, NY",51 to 200 employees,Information Technology,140.0,1,0,1,0,0,middleSalary,Under 500,NY,New York
10,Data Scientist,3.5,Wish,"San Jose, CA",501 to 1000 employees,Retail,163.5,1,0,0,0,0,highSalary,500 to 1000,CA,California
11,Data Scientist,4.1,ManTech,"Chantilly, VA",5001 to 10000 employees,Business Services,85.0,0,0,0,0,0,lowSalary,More than 5000,VA,Virginia
12,Staff Data Scientist - Technology,3.2,Walmart,"Plano, TX",10000+ employees,Retail,139.0,0,0,0,0,0,middleSalary,More than 5000,TX,Texas
13,Data Analyst,4.1,Yesler,"Seattle, WA",201 to 500 employees,Business Services,65.5,1,0,1,1,1,lowSalary,Under 500,WA,Washington
14,Data Scientist,3.7,Takeda Pharmaceuticals,"Cambridge, MA",10000+ employees,Biotech & Pharmaceuticals,113.5,1,0,1,0,0,middleSalary,More than 5000,MA,Massachusetts
15,Data Engineer I,3.6,Audible,"Newark, NJ",1001 to 5000 employees,Media,146.0,0,0,0,0,1,middleSalary,1000 to 5000,NJ,New Jersey
16,"Scientist I/II, Biology",3.9,Blueprint Medicines,"Cambridge, MA",51 to 200 employees,Biotech & Pharmaceuticals,102.0,0,0,0,0,1,middleSalary,Under 500,MA,Massachusetts
17,Customer Data Scientist,4.3,h2o.ai,"Mountain View, CA",201 to 500 employees,Information Technology,153.5,1,0,1,1,1,highSalary,Under 500,CA,California
18,Data Scientist - Health Data Analytics,4.2,Nuna,"San Francisco, CA",51 to 200 employees,Information Technology,142.5,0,0,0,0,0,middleSalary,Under 500,CA,California
19,Data Scientist,4.0,Pinnacol Assurance,"Denver, CO",501 to 1000 employees,Insurance,87.5,1,0,0,0,1,lowSalary,500 to 1000,CO,Colorado
20,Data Scientist,3.2,Porch,"Seattle, WA",201 to 500 employees,Information Technology,105.5,1,0,1,0,0,middleSalary,Under 500,WA,Washington
21,Senior Data Scientist / Machine Learning,3.9,Health IQ,"Dallas, TX",201 to 500 employees,Insurance,96.0,0,0,0,0,1,middleSalary,Under 500,TX,Texas
22,Data Scientist - Quantitative,3.8,Truckstop.com,"Chicago, IL",501 to 1000 employees,Transportation & Logistics,112.5,1,0,0,1,1,middleSalary,500 to 1000,IL,Illinois
23,Data Scientist,4.3,SMC 3,"Louisville, KY",51 to 200 employees,Transportation & Logistics,84.0,1,0,0,0,1,lowSalary,Under 500,KY,Kentucky
24,Data Scientist,4.0,Novetta,"Herndon, VA",501 to 1000 employees,Information Technology,143.0,1,0,0,1,0,middleSalary,500 to 1000,VA,Virginia
25,Digital Health Data Scientist,4.0,Pfizer,"Cambridge, MA",10000+ employees,Biotech & Pharmaceuticals,86.5,1,0,0,1,1,lowSalary,More than 5000,MA,Massachusetts
